titulo,autor,genero,puntuacion
Cien años de soledad,Gabriel García Márquez,Ficcion,4.5
1984,George Orwell,Ficcion,4.3
El Hobbit,J.R.R. Tolkien,Fantasia,4.7
Orgullo y Prejuicio,Jane Austen,Romance,4.2
Crimen y Castigo,Fiódor Dostoyevski,Clasico,4.4
Los Juegos del Hambre,Suzanne Collins,Juvenil,4.1
Don Quijote de la Mancha,Miguel de Cervantes,Clasico,4.6
Harry Potter y la Piedra Filosofal,J.K. Rowling,Fantasia,4.8
Los Pilares de la Tierra,Ken Follett,Historico,4.4
Cazadores de Sombras: Ciudad de Hueso,Cassandra Clare,Fantasia,4.0
Contacto,Carl Sagan,Ficcion,4.9
Proyecto Ernetti,Roland Portiche,Fantasia,4.5
